Para analizar los resultados pueden hacer una copia (Archivo > Crear una copia) o bajar los csv de cada país (Archivo > Descargar como),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recuerden calificar empresas en www.openqube.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Gente a cargo?,¿Cuánta?,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especialización,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a julio 2017,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2017?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Mujer,24 - 26,Ciudad Autónoma de Buenos Aires,4,2,Sí,3,Universitario,Completado,Licenciatura en Informática,No,Developer,,"Java, Kotlin",,,,,No,0,Bruto,Full-Time,53000,Bruto,2,3,No,No recibo bono,Uno,10,11-50,No,No cambié de empresa,"Snacks, golosinas, bebidas, Stock options / Shares, WFH (Trabajar desde casa)"
Mujer,21 - 23,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,No,0,Universitario,En curso,,No,Developer,,"CSS, HTML, Java, Javascript, jQuery",,,,,No,0,Neto,Full-Time,20000,Bruto,3,4,No,No recibo bono,Dos,30,201-500,No,No cambié de empresa,"Aumento por inflación, Clases de idiomas, Descuentos en gimnasios, Playroom, Snacks, golosinas, bebidas"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,3,Menos de un año,No,0,Universitario,Incompleto,Lic en sistemas,"Sí, de forma particular",Developer,,"Java, Kotlin",,,,,No,0,Bruto,Full-Time,54000,Bruto,3,3,No,No recibo bono,Uno,14,51-100,Sí,Desafíos profesionales,"Horarios flexibles, Playroom, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,8,8,No,0,Universitario,Completado,Lic. En Tecnología Informática ,"Sí, de forma particular, Sí, los pagó un empleador",Infosec,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,72000,Bruto,3,3,Menos de un sueldo,Performance individual,No,25,501-1000,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Comidas pagas/subvencionadas"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,5,No,0,Secundario,Incompleto,Sistemas,No,Developer,,"CSS, HTML, Javascript, jQuery, NodeJS, PHP",,,,,No,0,Neto,Remoto (empresa de otro país),33000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Horarios flexibles
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8,6,No,0,Secundario,Completado,,"Sí, de forma particular, Sí, los pagó un empleador",Administrador de ambientes virtuales,,,,,,,,,,Full-Time,31200,Bruto,2,1,No,No recibo bono,Dos,22,501-1000,No,No cambié de empresa,"Laptop, Sueldo divido en dos pagos por mes, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,6,Sí,4,Universitario,Completado,Licenciado en sistemas,"Sí, de forma particular, Sí, los pagó un empleador",Analista Tecnico,,,,,,,,,,Full-Time,40000,Neto,2,2,No,No recibo bono,Dos,21,101-200,No,Mayor comodidad,"Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,1,No,0,Universitario,Incompleto,,"Sí, de forma particular",monitoreo,,,,,,,,,,Full-Time,18000,Bruto,1,1,Menos de un sueldo,Mix de las anteriores,Dos,20,10001+,No,No cambié de empresa,"Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Laptop, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8,Menos de un año,No,0,Universitario,En curso,Licenciatura en Sistemas,"Sí, de forma particular",Developer,,"HTML, Java, Javascript, jQuery, PHP",,,,,No,0,Neto,Full-Time,34000,Neto,4,4,No,No recibo bono,Uno,10,501-1000,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8,2,No,0,Terciario,Completado,Analista de Seguridad,"Sí, de forma particular",Analista de Seguridad,,,,,,,,,,Full-Time,20000,Neto,1,1,No,No recibo bono,Dos,20,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,4,4,No,0,Secundario,Completado,,"Sí, de forma particular",HelpDesk,,,,,,,"Sí, pasiva",0,Bruto,Full-Time,23100,Neto,2,3,De uno a tres sueldos,Mix de las anteriores,Uno,18,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Bonos por desempeño"
Mujer,21 - 23,Ciudad Autónoma de Buenos Aires,2,2,No,0,Secundario,Completado,,"Sí, de forma particular",QA / Tester,,,HTML,Funcional,Jira,,,,,Full-Time,15000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Horarios flexibles, WFH (Trabajar desde casa)"
Mujer,31 - 33,Ciudad Autónoma de Buenos Aires,10+,1,No,0,Doctorado,En curso,Doctorado en Ciencias de la Computación,No,PM,,,,,,,,,,Full-Time,27747,Neto,3,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,10+,Sí,15,Universitario,Incompleto,,"Sí, de forma particular",PM,,,,,,,,,,Tercerizado (trabajo a través de consultora o agencia),85000,Bruto,4,4,Un sueldo,Mix de las anteriores,Dos,25,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Horarios flexibles, Laptop, Viáticos, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3,No,0,Universitario,Completado,Telecomunicaciones ,"Sí, de forma particular",PM,,,,,,,,,,Full-Time,38000,Neto,3,2,De uno a tres sueldos,Performance individual,Uno,30,51-100,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Descuentos en gimnasios, Horarios flexibles, Laptop, Viajes al exterior, Viáticos"
Mujer,31 - 33,Ciudad Autónoma de Buenos Aires,10+,3,No,0,Terciario,Completado,Análisis de Sistemas,No,Middleware,,,,,,,,,,Full-Time,37500,Bruto,2,3,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Laptop
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,5,3,No,0,Terciario,En curso,Analista en Sistemas,"Sí, de forma particular",HelpDesk,,,,,,,No,0,Bruto,Full-Time,23000,Neto,2,2,No,No recibo bono,Dos,23,51-100,No,No cambié de empresa,"Aumento por inflación, Comidas pagas/subvencionadas, Horarios flexibles"
Mujer,31 - 33,Ciudad Autónoma de Buenos Aires,5,1,Sí,6,Universitario,Completado,ing sistemas,"Sí, de forma particular, Sí, los pagó un empleador",product manager,,,,,,,,,,Freelance,30000,Neto,3,2,Menos de un sueldo,Performance individual,No,0,1-10,Sí,Desafíos profesionales,"Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,9,2,No,0,Terciario,En curso,Informática aplicada,No,Tecnical support,,,,,,,,,,Tercerizado (trabajo a través de consultora o agencia),13500,Neto,1,1,No,No recibo bono,Dos,4,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,46 - 49,Ciudad Autónoma de Buenos Aires,10+,5,No,0,Terciario,Completado,analista en sistemas,"Sí, de forma particular",HelpDesk,,,,,,,No,0,Neto,Full-Time,20000,Neto,1,1,No,No recibo bono,No,15,11-50,No,No cambié de empresa,nada
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,10+,5,Sí,8,Posgrado,En curso,Ing en Sistemas,"Sí, de forma particular, Sí, los pagó un empleador",PM,,,,,,,,,,Full-Time,50000,Neto,1,2,No,No recibo bono,Uno,21,2001-5000,No,No cambié de empresa,Horarios flexibles
Mujer,21 - 23,Ciudad Autónoma de Buenos Aires,1,Menos de un año,No,0,Universitario,En curso,Ingeniería en Sistemas,"Sí, de forma particular, Sí, los pagó un empleador",Developer,,"CSS, HTML, Javascript, jQuery, NodeJS, PHP",,,,,No,0,Porcentaje de mi sueldo,Part-Time,13800,Neto,3,3,No,No recibo bono,Uno,11,51-100,Sí,Mayor comodidad,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,5,1,No,0,Universitario,En curso,Tecnico superior en Programación,"Sí, de forma particular",Networking,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,27000,Bruto,2,1,No,No recibo bono,No,0,101-200,No,No cambié de empresa,"Snacks, golosinas, bebidas"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3,Sí,6,Posgrado,Completado,Lic. Sistemas,"Sí, de forma particular, Sí, los pagó un empleador",PO,,,,,,,,,,Full-Time,57000,Neto,3,3,No,No recibo bono,Dos,20,101-200,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,7,3,Sí,5,Universitario,Completado,Ing Informatica,No,Architect,,,,,,,,,,Full-Time,55000,Neto,3,3,Menos de un sueldo,Performance de la compañía,Dos,20,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,9,4,No,0,Universitario,Completado,lic en sistemas de la informacion,"Sí, los pagó un empleador",PM,,,,,,,,,,Full-Time,50000,Bruto,3,3,De uno a tres sueldos,Mix de las anteriores,Dos,18,501-1000,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Descuentos en gimnasios, WFH (Trabajar desde casa)"
Hombre,46 - 49,Ciudad Autónoma de Buenos Aires,10+,1,Sí,40,Universitario,Completado,Licenciatura en Sistemas,"Sí, de forma particular, Sí, los pagó un empleador",Agile Coach,,,,,,,,,,Full-Time,50000,Bruto,2,3,De uno a tres sueldos,Mix de las anteriores,Dos,20,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Masajes, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8,Menos de un año,Sí,5,Universitario,Completado,Ing. en Informática,No,Developer,,"Go, Python",,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Remoto (empresa de otro país),96000,Neto,4,4,No,No recibo bono,Dos,30,51-100,Sí,Desafíos profesionales,"Laptop, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,2,2,No,0,Universitario,En curso,Ingeniería en sistemas de información,No,Developer,,"CSS, HTML, Javascript",,,,,No,0,Neto,Part-Time,14000,Neto,1,2,No,No recibo bono,Dos,19,101-200,No,No cambié de empresa,"Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Masajes, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,3,Menos de un año,No,0,Universitario,Completado,Ingenieria en Sistemas,No,Developer,,"Java, Python",,,,,No,0,Porcentaje de mi sueldo,Full-Time,27500,Neto,3,2,No,No recibo bono,Uno,7,101-200,No,No cambié de empresa,"Aumento por inflación, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Masajes, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,2,2,No,0,Universitario,Completado,Administracion de empresas,No,Developer,,"CSS, HTML, Javascript, jQuery, NodeJS",,,,,No,0,Porcentaje de mi sueldo,Full-Time,50000,Bruto,4,3,No,No recibo bono,Más de dos,23,51-100,Sí,Desafíos profesionales,"Aumento por inflación, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Masajes, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,18 - 20,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,No,0,Secundario,Completado,,"Sí, de forma particular",Networking,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,15000,Neto,2,2,No,No recibo bono,No,0,501-1000,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Descuentos en gimnasios, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,4,1,Sí,2,Universitario,Completado,Licenciatura en Sistemas,"Sí, los pagó un empleador",Developer,,"CSS, HTML, Java, Javascript, jQuery, NodeJS",,,,,No,0,Porcentaje de mi sueldo,Full-Time,35000,Bruto,1,1,No,No recibo bono,Uno,15,101-200,No,No cambié de empresa,"Clases de idiomas, Descuentos en gimnasios, Laptop, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,5,5,No,0,Secundario,Completado,,"Sí, de forma particular",Developer,,"Go, HTML, Java, Javascript, PHP, Python",,,,,No,0,Neto,Full-Time,33000,Neto,2,1,Menos de un sueldo,Presentismo,Uno,27,1001-2000,No,No cambié de empresa,Horarios flexibles
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,10+,No,0,Terciario,Incompleto,Diseño Multimedial,No,Developer,,"CSS, HTML, Javascript, NodeJS, Reactjs, redux, redux-saga",,,,,No,0,Bruto,Full-Time,45000,Bruto,1,1,Menos de un sueldo,Mix de las anteriores,Uno,15,101-200,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Clases de idiomas, Comidas pagas/subvencionadas, Laptop, Masajes, Playroom, Snacks, golosinas, bebidas, Stock options / Shares, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,5,Menos de un año,No,0,Universitario,Completado,Ingeniería de Sistemas,No,Developer,,Java,,,,,No,0,Porcentaje de mi sueldo,Full-Time,25000,Neto,3,3,No,No recibo bono,No,0,501-1000,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,7,No,0,Universitario,Incompleto,Lic. en Sistemas,"Sí, de forma particular, Sí, los pagó un empleador",DBA,,,,,,Oracle,"Sí, pasiva",0,Bruto,Full-Time,73634,Bruto,4,3,No,No recibo bono,Dos,23.2,201-500,No,No cambié de empresa,"Aumento por inflación, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,5,Sí,6,Universitario,En curso,Lic Tecnologia de la información,"Sí, de forma particular",Lider de Proyecto,,,,,,,,,,Full-Time,47000,Neto,3,3,No,No recibo bono,Dos,20,51-100,No,No cambié de empresa,"Aumento por inflación, Cuota para universidad, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,4,No,0,Universitario,Completado,ingenieria en computacion,"Sí, de forma particular, Sí, los pagó un empleador",Architect,,,,,,,,,,Full-Time,38000,Neto,2,1,Menos de un sueldo,Mix de las anteriores,Uno,10,51-100,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,6,No,0,Posgrado,Completado,Sistemas,"Sí, de forma particular, Sí, los pagó un empleador",PM,,,,,,,,,,Full-Time,87000,Bruto,3,2,De uno a tres sueldos,Mix de las anteriores,Dos,20,501-1000,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,9,Menos de un año,No,0,Universitario,Completado,Licenciado en Ciencias de La Computación,No,Developer,,Java,,,,,No,0,Porcentaje de mi sueldo,Full-Time,45000,Bruto,3,3,No,No recibo bono,No,0,101-200,Sí,Desafíos profesionales,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Masajes, Snacks, golosinas, bebidas, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,6,3,No,0,Universitario,Incompleto,Ingeniería en sistemas de información ,"Sí, los pagó un empleador",ETL developer ,,,,,,,,,,Tercerizado (trabajo a través de consultora o agencia),25000,Bruto,2,1,No,No recibo bono,Uno,10,51-100,No,No cambié de empresa,Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,7,1,No,0,Universitario,Completado,Ing en sistemas,No,SysAdmin / DevOps,"Linux, Windows, Amazon Web Services, Docker / Containers",".NET, NodeJS, Perl",,,,,No,0,Porcentaje de mi sueldo,Full-Time,42000,Neto,3,3,No,No recibo bono,Más de dos,20,101-200,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Masajes, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,2,1,Sí,2,Universitario,En curso,Lic. en Análisis de Sistemas,"Sí, los pagó un empleador",Infosec,,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,48000,Bruto,4,4,De uno a tres sueldos,Performance grupal,Uno,7,501-1000,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Cuota para universidad, Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,6,4,No,0,Terciario,Completado,Tecnicatura Superior en Informática Aplicada,"Sí, de forma particular, Sí, los pagó un empleador",Developer,,"CSS, HTML, Java, Javascript, jQuery",,,,,"Sí, pasiva",1255,Bruto,Tercerizado (trabajo a través de consultora o agencia),27500,Bruto,2,2,Menos de un sueldo,Corresponde a un cuarto de sueldo cada 6 meses,Uno,27,201-500,No,No cambié de empresa,"Aumento por inflación, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Laptop, Viáticos, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,10+,No,0,Universitario,Incompleto,,No,SysAdmin / DevOps,"Linux, Windows, Amazon Web Services, OpenStack, VMWare",Python,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,110000,Bruto,3,3,De uno a tres sueldos,Mix de las anteriores,Dos,18,2001-5000,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,31 - 33,Córdoba,8,6,No,0,Terciario,Completado,,"Sí, de forma particular, Sí, los pagó un empleador",Developer,,".NET, VB *",,,,,No,0,Porcentaje de mi sueldo,Full-Time,45000,Bruto,3,2,Un sueldo,Performance de la compañía,Dos,20,201-500,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,37 - 40,Córdoba,10+,10+,No,0,Universitario,Incompleto,Ingenieria en Sistemas,"Sí, de forma particular",HelpDesk,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,21000,Neto,3,3,No,No recibo bono,Uno,19,501-1000,No,No cambié de empresa,Aumento por inflación
Hombre,41 - 45,Córdoba,10+,9,No,0,Posgrado,Completado,Ing. en Sistemas,"Sí, de forma particular, Sí, los pagó un empleador",DBA,,,,,,Oracle,No,0,Porcentaje de mi sueldo,Full-Time,35000,Bruto,1,1,Menos de un sueldo,Mix de las anteriores,No,19,5001-10000,No,No cambié de empresa,"Bonos por desempeño, Laptop"
Hombre,24 - 26,Córdoba,Menos de un año,Menos de un año,No,0,Universitario,En curso,Licenciatura en Comunicación Social,"Sí, de forma particular",Developer,,"CSS, HTML, Javascript, NodeJS",,,,,No,0,Porcentaje de mi sueldo,Full-Time,12000,Neto,2,1,No,No recibo bono,No,0,101-200,Sí,Desafíos profesionales,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Mujer,27 - 30,Córdoba,Menos de un año,Menos de un año,No,0,Universitario,En curso,Ing. en Sistemas,"Sí, de forma particular",Developer,,Angular,,,,,No,0,Porcentaje de mi sueldo,Full-Time,13500,Neto,2,2,No,No recibo bono,Uno,1.2,101-200,Sí,Salario,Ninguna de las anteriores
Hombre,31 - 33,Córdoba,10+,5,Sí,7,Secundario,Completado,,"Sí, de forma particular, Sí, los pagó un empleador",Technical Leader,,,,,,,,,,Full-Time,33000,Neto,3,3,No,No recibo bono,Dos,25,51-100,No,No cambié de empresa,"Capacitaciones y/o cursos, Horarios flexibles, WFH (Trabajar desde casa), Tenemos dos asadores y comemos como vikingos."
Mujer,27 - 30,Córdoba,7,1,No,0,Universitario,Incompleto,Letras Modernas,"Sí, de forma particular",SEM Manager,,,,,,,,,,Remoto (empresa de otro país),23,Neto,3,2,No,No recibo bono,No,0,1-10,Sí,Mayor comodidad,Horarios flexibles
Hombre,21 - 23,Córdoba,Menos de un año,Menos de un año,No,0,Terciario,En curso,Analista de Sistemas de Computación,No,HelpDesk,,,,,,,"Sí, activa",0,Porcentaje de mi sueldo,Full-Time,20000,Neto,3,3,No,No recibo bono,No,0,501-1000,No,No cambié de empresa,"Capacitaciones y/o cursos, Snacks, golosinas, bebidas"
Hombre,27 - 30,Córdoba,Menos de un año,Menos de un año,No,0,Universitario,En curso,Lic. En Cs de la computación,"Sí, de forma particular",Developer,,"Go, Java",,,,,"Sí, activa",0,Neto,Full-Time,20000,Neto,2,3,De uno a tres sueldos,Mix de las anteriores,Uno,19,201-500,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Laptop, Masajes, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,37 - 40,Córdoba,8,8,No,0,Universitario,Incompleto,ingeniera en sistemas,"Sí, de forma particular",Developer,,"CSS, HTML, Java, Javascript",,,,,No,0,Neto,Full-Time,26500,Neto,1,2,No,Mix de las anteriores,Uno,8,201-500,No,No cambié de empresa,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Córdoba,5,4,No,0,Universitario,Incompleto,Ciencias de la Computación,No,Developer,,Python,,,,,No,0,Porcentaje de mi sueldo,Full-Time,52000,Bruto,3,3,No,No recibo bono,Dos,26.56,51-100,No,No cambié de empresa,"Aumento por inflación, Comidas pagas/subvencionadas"
Hombre,34 - 36,Córdoba,7,7,No,0,Secundario,Completado,,"Sí, de forma particular",Front end,,,,,,,,,,Full-Time,26000,Neto,2,2,No,No recibo bono,Dos,26,11-50,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,27 - 30,Córdoba,8,1,Sí,6,Universitario,En curso,,"Sí, de forma particular, Sí, los pagó un empleador",Architect,,,,,,,,,,Full-Time,90000,Bruto,3,3,No,No recibo bono,Dos,21,11-50,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Stock options / Shares, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,34 - 36,Córdoba,10+,2,Sí,6,Universitario,En curso,Ingenieria en software,No,Architect,,,,,,,,,,Full-Time,65000,Bruto,3,2,No,No recibo bono,Uno,18,201-500,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Mujer,27 - 30,Córdoba,5,3,No,0,Terciario,En curso,Programación,"Sí, de forma particular",Developer,,"C#, Go, HTML, Java, Javascript, NodeJS, PHP",,,,,No,0,Bruto,Full-Time,27000,Neto,1,2,Menos de un sueldo,Performance de la compañía,Dos,20,5001-10000,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Masajes, Snacks, golosinas, bebidas, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,31 - 33,Córdoba,10+,Menos de un año,No,0,Universitario,Incompleto,ing. en sistemas de informacion,"Sí, de forma particular, Sí, los pagó un empleador",Developer,,"Java, Golang",,,,,"Sí, pasiva",0,Neto,Full-Time,45000,Bruto,4,4,De uno a tres sueldos,Mix de las anteriores,Dos,25,51-100,Sí,Desafíos profesionales,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Masajes, Playroom, Snacks, golosinas, bebidas, Viáticos, WFH (Trabajar desde casa)"
Hombre,21 - 23,Córdoba,1,Menos de un año,No,0,Universitario,En curso,Ingeniería en sistemas de informacion,"Sí, de forma particular",Developer,,"CSS, HTML, Javascript, jQuery, Python, Django",,,,,No,0,Bruto,Freelance,4000,Neto,1,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Capacitaciones y/o cursos, Horarios flexibles, WFH (Trabajar desde casa)"
